# Canales disponibles en las fuentes EPG
# Formato: channel_id | display_name
# Fecha: Sun Nov  2 00:17:36 UTC 2025

/esaguila-roja | Águila Roja
/esmytime-movie-network | MyTime Movie Network
/esruntime-accion | Runtime Acción
/esruntime-clasicos | Runtime Clásicos
/esruntime-comedia | Runtime Comedia
/esruntime-romance | Runtime Romance
/esruntime-series | Runtime Series
/esruntime-thriller | Runtime Thriller
1+1 International | 1+1 International
1-1-travel | 1+1 Travel
13.TV.es | 13 TV
24 Horas | 24 Horas
24 horas Canarias | 24 horas Canarias
24 horas Cataluña | 24 horas Cataluña
3/24.es | 3/24
324.es | 324
3CatInfo Catalunya | 3CatInfo Catalunya
3CatInfo | 3CatInfo
4K.Travel.TV.es | 4K Travel TV
5-minutes-craft-es | Ideas en 5 minutos
643054b1fc3be59477853717-6408c82eebb23ab878e8ddbb | Motorsport.tv
643054b1fc3be59477853717-643f0ecd76de2b4015ae6c01 | PFL MMA
643054b1fc3be59477853717-64487696af92c31f4a190bc4 | MyTime Movie Network
643054b1fc3be59477853717-6448ba1baf92c31f4a190c27 | JAIL
643054b1fc3be59477853717-6449369eb3ff17382cae5801 | Dick Van Dyke
643054b1fc3be59477853717-644b13a3a1c0a5b2024c8403 | Strongman Champions
643054b1fc3be59477853717-64694d52f73356567a64ce8c | Corazón
643054b1fc3be59477853717-6469502df73356567a64ce8e | Clic
643054b1fc3be59477853717-646c0dfbfb58444e4e1e262d | Pac-12 Insider
643054b1fc3be59477853717-646d06c9b09f13b2d8af68d8 | Azteca Internacional
643054b1fc3be59477853717-6470477fe536e0faaf10be9d | Robot Wars by Mech+
643054b1fc3be59477853717-64704954e536e0faaf10be9f | Just For Laughs Gags
643054b1fc3be59477853717-6477b95b7ba9c0d593859bfc | Cops en Español
643054b1fc3be59477853717-6490c01f3b3ce9e1aaad95be | FashionTV
643054b1fc3be59477853717-6490e17c18a55242eea95991 | Cine Friki
643054b1fc3be59477853717-6490e59918a55242eea95995 | Todo Novelas
643054b1fc3be59477853717-64a355697d24564fba37bab8 | Ideas En 5 Minutos
643054b1fc3be59477853717-64ac687b4192b4e1bab96279 | PokerGO
643054b1fc3be59477853717-64b1dd6046d96b0c91bb1a42 | Yu-Gi-Oh!
643054b1fc3be59477853717-64b1e1217d4037206787f384 | Nolly Africa HD
643054b1fc3be59477853717-64d4e82ac5d4668c9cb7b5df | Novelisima
643054b1fc3be59477853717-64d79408e5f67b0fab47ff24 | Misterios sin Resolver
643054b1fc3be59477853717-64f0d9a7c2bc9b9001d46ea6 | Saborear TV
643054b1fc3be59477853717-64f0dad7c2bc9b9001d46ea8 | Butaca TV
643054b1fc3be59477853717-64f0db77c2bc9b9001d46eaa | Oro TV
643054b1fc3be59477853717-650b5bb3f4b2d9579946a500 | Mythical 24/7
643054b1fc3be59477853717-652875586425fdb1f32d2169 | Court Sports Network
643054b1fc3be59477853717-654eb862dde2222e8ba551f1 | Stingray Holidayscapes
643054b1fc3be59477853717-656236cc5dbccec83a87b647 | Andromeda
643054b1fc3be59477853717-656237c55dbccec83a87b649 | Mutant X
643054b1fc3be59477853717-65623e0eb7d737841f30a4ff | Cheaters en Español
643054b1fc3be59477853717-656fa24bdbcce28c3a417415 | The World Poker Tour
643054b1fc3be59477853717-656fb124cb7e8e6a9bc3f36a | Kidz Bop TV
