# Canales disponibles en las fuentes EPG
# Formato: channel_id | display_name
# Fecha: Thu Oct  2 00:14:35 UTC 2025

6532e7fa045c3d0008514ca7 | Warner Bros. TV Sweet Escapes
6532e8342cf13100083b404c | Warner Bros. TV Say Yes to the Dress
65453f30085df200085883d8 | ION
65492fc7056b9700088560b5 | American Crimes
65493029ab052400089e9d2f | GolfPass
6549306c83595c000815a696 | NBC Sports NOW
654930a8346f420008d3b0b8 | Oxygen True Crime Archives
6549310a53fc97000838fcc9 | Bravo Vault
6549316d2c1d330008631496 | Real Housewives Vault
6549322e53fc97000838febc | Million Dollar Listing Vault
654932fa4d6d8f00084c4723 | Bad Girls Club
6549337183595c000815ad05 | Murder, She Wrote
654933ac986ad20008a1f406 | Little House on the Prairie
654933e253fc970008390114 | Universal Action
6549341853fc9700083901ac | Universal Crime
65652f7fc0fc88000883537a | Crunchyroll
656535fc2c46f30008870fae | BBC Earth
65653817c917a5000844bc30 | Criminal Minds
656538f8954b020008d389db | UnXplained Zone
6565413e4261ca0008215320 | Pickers &amp; Pawn
65654230c917a5000844ce96 | Home Crashers
656542ae4261ca00082154a8 | Ultimate Builds
6565430c9d5ac4000822f508 | Rustic Retreats
6565436c9d5ac4000822f552 | Medical Incredible
65775af3b3801200084a3aa4 | Feel Good Drama
65775d29dfed030008cb3db2 | Modern Marvels Presented by HISTORY
65790cda6e4f6a0008768764 | NBC Los Angeles News
65790feacbd0d60008fac87a | Telemundo Noticias California
65a6dafb7bdc8d0008473c85 | The Lone Ranger
65a9b20f0c7ff50008d3a3b6 | Universal Monsters
65c69b683ba51e00084534a3 | Monster Jam
65c69bbfd77d450008c7ffee | Star Trek Deep Space Nine
65c69bf23ef47d0008583967 | Tough Jobs
65c69ee3d77d450008c80438 | F1 Channel
65d92a8c8b24c80008e285c0 | BBC News
65e23f340d4561000821540d | Mister Rogers' Neighborhood
65ea8b928145cb0008509426 | UEFA Champions League
661827ffe8fba800086b217d | Triton Poker
663946c1b18d700008d9c168 | BET Visionaries
664e640a0120f40008be4582 | The Wild Wild West
664fd48894d5580008e45e7c | Dog Whisperer with Cesar Millan
6661f11a41af6400080e90d8 | Big Brother
6661f88f3d173b000845958c | Wild West TV
666b265722acab000885c6aa | BET x Tyler Perry Comedy
666b38a5efa2a10008b15b3a | BET x Tyler Perry Drama
6675c713fc3a46000863dde7 | Ebony TV Drama
6675c742ca74680008566b88 | Nash Bridges
6675c7868768aa0008d7f1c7 | Pokémon
667f2c7b22acab0008b7072b | FOX 11 Los Angeles
667f3852efa2a10008e1e514 | Go Go Gadget!
667f393836a2f90008fd17c0 | Strawberry Shortcake and Friends
668c566d08d5490008075948 | La Familia del Barrio
668c5cb4f01dbe0008dd4082 | CBS en español
668c5d3bfd9eb2000882bb50 | ONE Championship TV
66a7f0a78561260008c177f2 | Salem News Channel
66abefe5d2d50d00082c7d12 | VH1 Queens of Reality
66b646f9cd0d3100086af83c | 60 Minutes
66b66b9e14a2bb000872f606 | WOW – Women of Wrestling
66ba495ffe11e5000881f049 | Cheers + Frasier
66ba53cda4ee2700083fac09 | Sala de Emergencias: Historias Inéditas
66c638726838ee00085ac20d | OuterSphere
66df70cd61dbf00008fa26ff | The Good Wife
66df8a29b25d2b0008fc5fe0 | Love Nature
66df8aa7abec540008ca8cb6 | Homeful
66e0b4536ad04d0008fff4b2 | CNN Originals
66e0b4866ad04d0008fff4d8 | MythBusters
66e0b4a3f0f17500085cc268 | Hit Sitcoms
66fedd65d7de140008dccd66 | El Reino Infantil
66ff0cf663292d0008320cf8 | No Reservations
672e4d915534bb0008c50168 | Family Feud
673247127d5da5000817b4d6 | Pluto TV Trending Now
673248f9030a2c0008033af8 | CNN XPRESS
673249215534bb0008c8a012 | Bodas+
673249433a61d400087a51ed | Construcciones Asombrosas
6732495dc7626f0008c71e7d | Expedientes Sobrenaturales
6732497f3a61d400087a53b0 | TuWarner
6732499ce40c4a0008bb9894 | Crimen
673249afc7626f0008c7205d | Vidas Extremas
673249ccc7626f0008c72076 | TuDiscovery
67352ed93a61d4000881f9fa | The Twilight Zone
673bf05ddaad7f0008ac7a5c | Dinos 24/7
674f735a2fb8a100087bf253 | Revry
677d672ef090ab00085b8e9b | Robot Wars by MECH+
677d9adfa9a51b0008497fa0 | UFC
67817323dd7846fe546940dd | QVC2
67882c1c7b11714b795c2008 | Sketchy AF
6792c30abc03978b9b8bb832 | The NBA Channel
6793ea255225b515b4ba91a7 | ALLBLK Gems
6793eaa4bc03978b9bc63db1 | ANIME x HIDIVE
67c62ac2095aea2ec805eb34 | The Martha Stewart Channel
67c63b90a20c0399a381b816 | Inuyasha
67d07b7b798df95b8e9484b5 | The Emeril Lagasse Channel
67ed8c15c84f951267dbebc2 | Pluto TV Anime Comedy
67ed8f7e443f0671bc2b2368 | Pluto TV Anime Movies
681109b688b9d85d0938c6ba | TennisChannel 2
6812948d5a1ac24c25fac322 | Kids Anime
682e43b21295f98347710917 | AWSN
683df56f5195c2a60a3f5559 | Swerve Sports
68487fb3f212bedacf5a53e3 | 50 Cent Action
68509fe882d704acfc5bacd1 | Tastemade Smokehouse
686c1c873ffa5e0c91a85938 | Cine Crimen
686c2677ed17cf4c900a496d | Wicked Tuna
686d61503484d6073283059d | Black Family Sitcoms
686d8dd294a028da3ac59566 | Women's Sports Network
68757c45759366af05b3b199 | America's Next Top Model
68757c60552299d2b080eab6 | Project Runway
68757effdf333e336be1e49f | Tony Robbins Network
68758038552299d2b08162e3 | Law &amp; Order
687fea9a4fa995eff284a1c8 | Más adrenalina
687ff00ff6bc08130f16ab81 | Beyond the Gates
6887a4e01067b66fa16966ec | Live PD Presents
6887a86be3703b7d42b3eca3 | Matched Married Meet by Lifetime
6887a8fd8e92b5e0a7244e88 | Ancient Aliens
6887aaade3703b7d42b64be8 | The First 48 by A&amp;E
6887aaf4e3703b7d42b71a1e | Storage Wars by A&amp;E
68939e206727ec919bb39061 | Hogan's Heroes
68c32d88f56983aba40052bd | BET Comedy Movies
metv | MeTV
