# Canales disponibles en las fuentes EPG
# Formato: channel_id | display_name
# Fecha: Wed Jan 21 00:19:11 UTC 2026

4seven.uk | 4seven
5.USA.uk | 5 USA
5ACTION.uk | 5ACTION
5SELECT.uk | 5SELECT
5STAR+1.uk | 5STAR+1
5STAR.uk | 5STAR
5USA+1.uk | 5USA+1
6852854bce36f0644f37d765 | A New Life in the Sun
685aa802fb6023de7cc56357 | Dominance FC TV
686cd713e48af72bc250efb8 | America's Next Top Model
686cd7bd8aeeaaa91a153161 | Britain's Next Top Model
686fc8fe1889b4ad04604704 | Icons Unearthed+
6882521ac258734a42a60ed0 | DP World Tour
68b5a7b69ac85c428f54c441 | Curzon Cinema
68b5a97fc8ef6afa31138718 | The Smurfs
68c8201b1e5aaf77c47d9605 | Ice Road Truckers
68c8202f5ec82769fdfcd0a2 | Chaos on Cam
68c820525ec82769fdfcd104 | Wrestling Legends TV
68d113f9184f1a0620c8101c | Medical Detectives
68e38aaf8082ad3760def7bc | Hercules: The Legendary Journeys
68e38b005c876cf730fcbf0f | Six Million Dollar Man
68e38b6e20115bbaf9c91083 | The Incredible Hulk
68e3b6112baff9f069d02540 | Relic Hunter
68e3b8c846e8a33b6839e981 | Renegade
68e3bf280989820fd0c7228a | Teen Mom UK
68e3bf7480f586b45f6fb563 | Catfish UK
68e3bfc6c5a50ef76a2393d2 | Wardens
68e3bffe1cfcd7541d59090f | Most Haunted: Unseen
68e3c18130ee729844af1fca | Monkey
68e3c37c19f32ffa27bae948 | Unsolved Mysteries with Dennis Farina
68e8ffee9d1d49e672fe790f | The Yellow Couch with Jeremy Lynch
6900997e043e3df1897d017f | Ironside
69038c2ee0e0c5f8208c033a | Murdertown
690dc8ed1ee9b6ac66607ce2 | America's Funniest Home Videos
691729bdda5b5095ab1818fd | The Pink Panther
692ebafce72f03e07e7df985 | Pluto TV American True Crime
6960c5a906d76f50db2816dc | Cagney &amp; Lacey
92.News.uk | 92 News
A1TV.uk | A1TV
AAJ.TAK.uk | AAJ TAK
ARY.Digital.uk | ARY Digital
ATN.uk | ATN
Aastha.uk | Aastha
Absolute.80s.uk | Absolute 80s
Absolute.90s.uk | Absolute 90s
Absolute.uk | Absolute
Adult.Channel.uk | Adult Channel
Ahlebait.TV.uk | Ahlebait TV
Ahlulbayt.TV.uk | Ahlulbayt TV
Akaal.Channel.uk | Akaal Channel
Al.Jazeera.HD.uk | Al Jazeera HD
Animal.Planet.uk | Animal Planet
Animal.Plnt+1.uk | Animal Plnt+1
Arirang.TV.HD.uk | Arirang TV HD
Arise.News.uk | Arise News
Ayozat.TV.uk | Ayozat TV
B4U.Movies.uk | B4U Movies
B4U.Music.uk | B4U Music
BBC.6.Music.uk | BBC 6 Music
BBC.ALBA.HD.uk | BBC ALBA HD
BBC.Asian.uk | BBC Asian
BBC.Four.HD.uk | BBC Four HD
BBC.NEWS.HD.uk | BBC NEWS HD
BBC.One.CI.HD.uk | BBC One CI HD
BBC.One.E.Mid.HD.uk | BBC One E Mid HD
BBC.One.EastHD.uk | BBC One EastHD
BBC.One.Lon.HD.uk | BBC One Lon HD
BBC.One.N.West.HD.uk | BBC One N West HD
BBC.One.NE.and.C.HD.uk | BBC One NE and C HD
BBC.One.NI.HD.uk | BBC One NI HD
BBC.One.S.East.HD.uk | BBC One S East HD
BBC.One.S.West.HD.uk | BBC One S West HD
BBC.One.ScotHD.uk | BBC One ScotHD
BBC.One.Sth.HD.uk | BBC One Sth HD
BBC.One.WM.HD.uk | BBC One WM HD
BBC.One.Wal.HD.uk | BBC One Wal HD
BBC.One.West.HD.uk | BBC One West HD
BBC.One.Y.and.L.HD.uk | BBC One Y and L HD
BBC.One.Yorks.HD.uk | BBC One Yorks HD
BBC.Parliament.HD.uk | BBC Parliament HD
BBC.R.Cymru.2.uk | BBC R Cymru 2
BBC.R.Cymru.uk | BBC R Cymru
BBC.R.Foyle.uk | BBC R Foyle
BBC.R.Scot..uk | BBC R Scot.
BBC.R.Ulster.uk | BBC R Ulster
BBC.R.Wales.uk | BBC R Wales
BBC.R.n.Gael.uk | BBC R n Gael
BBC.R1.uk | BBC R1
BBC.R1X.uk | BBC R1X
BBC.R2.uk | BBC R2
BBC.R3.uk | BBC R3
BBC.R4.Ex.uk | BBC R4 Ex
BBC.R4.FM.uk | BBC R4 FM
BBC.R4.LW.uk | BBC R4 LW
BBC.R5L.uk | BBC R5L
BBC.R5SX.uk | BBC R5SX
BBC.RB.1.HD.uk | BBC RB 1 HD
BBC.RB.1.uk | BBC RB 1
BBC.RLondon.uk | BBC RLondon
BBC.Radio.Bristol.104.6FM.uk | BBC Radio Bristol 104.6FM
BBC.Radio.Bristol.94.9FM.uk | BBC Radio Bristol 94.9FM
BBC.Radio.Bristol.DAB.uk | BBC Radio Bristol DAB
BBC.Radio.Sussex.uk | BBC Radio Sussex
BBC.Three.HD.uk | BBC Three HD
BBC.Two.HD.uk | BBC Two HD
BBC.Two.NI.HD.uk | BBC Two NI HD
BBC.Two.Wal.HD.uk | BBC Two Wal HD
BBC.WS.uk | BBC WS
BBCScotlandHD.uk | BBCScotlandHD
BFBS.Radio.uk | BFBS Radio
BLAZE.uk | BLAZE
Babenation.uk | Babenation
BabyTV.uk | BabyTV
Best.Direct.uk | Best Direct
Bloomberg.HD.uk | Bloomberg HD
Boomerang+1.uk | Boomerang+1
Boomerang.HD.uk | Boomerang HD
